Task,Phrase,Score,Description
"Transferring the risk of product, registering the discharge - Barge",applicable national regulation,32.166666666666664,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",non-excise duty,31.5,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",product storage management,29.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",saad,28.5,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",total quantity,26.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",authority report,23.5,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",authority,22.5,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",applicable regulation,22.166666666666664,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",custom,22.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",present table,18.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",product balance,17.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge - Barge",transportation process,15.0,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Making preparations for product reception, reviewing the transport documents",necessary room sufficient,54.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",specified work tool,46.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",work procedure,33.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",protective equipment,28.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",transport document bill,27.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",personal condition,26.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",transport bill custom,25.5,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",proper condition,24.5,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
"Making preparations for product reception, reviewing the transport documents",hse requirement,22.0,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
"
